c_id	c_text	date	author_id	like_count	quote_count	retweet_count	reply_count	hatespeech	toxi	target
1403958574003412998	@Laika66753508 @MartinaWeiss48 @reitschuster Meine Liebe.. Sie bilden sich anscheinend auch viel ein 🧐	2021-06-13 06:13:02	1308653501849968641	0	0	0	0	0	2	person
1387057632255504387	@manaf12hassan Die Karte muss in Gesicht von Frau Merkel und Herr spahn hoch gezogen werden......	2021-04-27 14:54:44	825398181559144448	0	0	0	1	0	2	person
1387127854748602372	"@Tino_Chrupalla @Karl_Lauterbach Wenn Sie kackbraune Scheiße blau übermalen wie der kleine Anstreicher Chruppala bleibt es kackbraune AfD-Scheiße.

Setzen Sechs, Chrupalla!

🇩🇪 entlarvt die ALTPARTEI AfD!
#AfDrausausdenParlamenten https://t.co/W4zCnEsTTM"	2021-04-27 19:33:46	1084924078845296641	5	0	0	0	1	3	group
1403664738966552581	@DemokratDer @manuelak62 666	2021-06-12 10:45:27	955196873236713472	2	0	0	0	0	2	public
1385309530620317700	@_agronym Junge was für Verfolgung, die befeuern aus ihren Eigentumswohnungen Querdenker und ich sage auf Twitter, dass ich das doof finde. Du weißt nichts von Verfolgung	2021-04-22 19:08:24	2359678087	1	0	0	0	0	2	person
1388597838037331982	@mamjahid Tja leider waren deine Eltern nicht Ärztin und Ingenieur. Überleg mal woran das wohl liegt. Sie haben sich für dich krumm gemacht. Und jetzt kommst du Schlaumeier und erzählst was vom 1. MAI. Das ist demütigend für deine Eltern.	2021-05-01 20:54:58	1342562488999694338	1	0	0	0	0	2	person
1406547599784546306	"@FozzyTimeless @Hoellenaufsicht @Alice_Weidel @UweJunge Ja und ja. Ihre Erklärung dazu (die mich nicht ganz überzeugt):

https://t.co/0FCAKZfqtl"	2021-06-20 09:40:54	2651536295	7	0	0	1	0	1	person
1391855602222223361	@_Der_Ketzer_ @Fridoline17 @LarsWienand @BlackWi66664625 @Michael_Ballweg @ToleranzNaklar Querdenker belagern Impfzentren, verbreiten Lügen um Menschen vom Impfen abzuhalten, beleidigen und provozieren wenn man Maske trägt. Komm mir nicht mit, anderen Leuten ihre Rechte absprechen wollen.	2021-05-10 20:40:09	1316274708858507265	3	0	0	1	1	2	group
1390794806268420101	@karina140911 7. Monat im 2-Wochen-Lockdown, Jahr 2 der Erderhitzung!	2021-05-07 22:24:56	4180812868	1	0	0	0	0	1	public
1384377026044436489	@gaborhalasz1 Punkt 2 https://t.co/0sSOs5mCzt	2021-04-20 05:22:58	2999466707	69	2	19	10	0	1	public
1384578540235018241	@RLebedzow @danilaw63 @Karl_Lauterbach Hetzer? Gegen wen denn?	2021-04-20 18:43:42	1327926318655295488	0	0	0	1	0	1	public
1397090954088157185	@MarionaMarione @veritas60756463 @MelBurn02025218 @Karl_Lauterbach Dieser Hemlut ist einfach nur ein verstrahlter, egozentrischer Idiot, der es einfach genießt mehr Rechte als andere zu haben. Sein Gesabbel bringt uns nichts, solche Spinner erträgt man einfach.	2021-05-25 07:23:34	1275142585850478597	0	0	0	0	0	3	person
1391637621038850049	@konold @kritik_in_mir @HuebnerJohannes Pfizer eine Firma die anscheinend die gleiche Ethik wie Nazi Todesengel Mengele vertritt hat vor einigen Jahren als in Nigeria eine Mningitis Welle ausbrach, unter dem Vorwand humanitärer Hilfe,  verdeckt  Testmedikamente an Kids ausprobiert ...11 Kinder Tot, 200 behindert	2021-05-10 06:13:58	1129415298732515329	0	0	0	0	1	3	group
1393706419568975872	@pozzoblitz Also ich kenn ja solche Leute größtenteils noch aus meiner Emo Phase und die meisten sind halt einfach drogensüchtige assis geworden ohne groß politisch dabei zu sein, die aber antifa sticker immer ganz cool fanden v.a. die prolligen	2021-05-15 23:14:38	1105055634863652864	0	0	0	1	0	2	
1404906326149509121	@quanten_sprung @greenpeace_de les halt nochmal nach, was ursprünglich beabsichtigt war. Genausogut könnte ich fragen, was aktuell überhaupt Zuschauer im Stadion verloren haben. Da nimmt man auch vieles billigend in Kauf ..	2021-06-15 20:59:04	211264735	6	0	0	12	0	1	person
1384215460963442693	"@Die_Gruenen #BaerbockvsHabeck  Wie kann eine Partei so dumm sein, die UNERTRÄGLICH schrille nervende Stimme von 
@ABaerbock der wohltemperierten sympathischen von Habeck vorzuziehen. Die Baerbock wird beim Wahlvolk so gut ankommen, wie Kommentatorin Claudia Neumann bei den Männerfußballfans."	2021-04-19 18:40:58	897824374945976322	0	0	0	0	0	2	person
1384065133584936961	@ChristofStelma1 für ne sekunde aus versehen mit jemand gesprochen der d0n alph0ns0 tweets feiert und sich über blm lustig macht naja	2021-04-19 08:43:37	4839186903	0	0	0	0	0	1	person
1392713344906321920	"@Joerg_Meuthen OT, oder von mir aus auch RFH.

Ich wünsche mir ein Statement von
Ihnen zu den aktuellen Ereignissen
in Israel. Vielen Dank."	2021-05-13 05:28:31	1327998074602532865	0	0	0	1	0	1	person
