	c_id	c_text	date	author_id	like_count	quote_count	retweet_count	reply_count	hatespeech
0	1.3842169544880497e+18	@MichaelBroecker @HeuteBluhm @ArminLaschet @CDU Sonst käme man ja auf die Idee dass Laschet schon immer unbeliebt war aber +6 rauslief und Söder schon immer an der Basis beliebt aber -10 rauslief	2021-04-19T18:46:54Z	1.1098048211949116e+18	1	0	0	0	0
1	1.3979250837174108e+18	@reitschuster Jetzt beginnt die Wahlwerbung für die AfD. Wie vorausgesagt.😳	2021-05-27T14:38:06Z	1.373293126916395e+18	3	0	0	0	0
2	1.3918532546156997e+18	@welt Na wenn DA mal nicht ein paar Querdenker mitten in der Masse standen.	2021-05-10T20:30:49Z	1.2174123545871852e+18	0	0	0	0	0
3	1.383950264403587e+18	@Eiterdaus Danke hatte ich schon. Is wie ne Grippe, also nicht ängstlich. Is nur für alte und kranke wirklich gefährlich. Ja das zeigt was du für ein intoleranter, verborter Mensch bist der den Mainstream Müll aus den Medien nachplappert!!! Hauptsache man kann nazi schreiben	2021-04-19T01:07:10Z	7.673723385223822e+17	0	0	0	1	1
4	1.400755246411006e+18	@janboehm Es gibt weitaus wichtigere Punkte um für Gleichberechtigung zu sorgen. Ich habe Mi h noch nie benachteiligt gefühlt nur weil ein Maskuliner Artikel vor einem Wort stand 😅	2021-06-04T10:04:10Z	1.2522951683777372e+18	1109	1	9	19	0
5	1.3884480856894874e+18	"@amo_il_caffe @Dr_Emergencydoc Vor Monaten schrieb ich mal, wenn die Leute alle zuhause verrecken würden statt anonym auf der ITS,  wären wir schon durch mit lockdown..  das ist das Paradoxon heutzutage 🙄 
Die Deppen sehen nix mehr.."	2021-05-01T10:59:54Z	7.411391551036703e+17	0	0	0	0	0
6	1.384275127517401e+18	"@noaheIeazar @arouet71 @tagesthemen @tagesschau @jahn_frank Die ""Meinung"" im @ZDF oder bei @ARDde  ist niemals ausgewogen, sondern immer nur linksgrün gefärbt. Würde ein Moderator die Afd ähnlich über den grünen Klee loben, wie es täglich bei den Grünen geschieht, hätte er am nächsten Tag sein Kündigungsschreiben in der Hand."	2021-04-19T22:38:03Z	1.2388510905499648e+18	1	0	0	2	0
7	1.3871712242671985e+18	"https://t.co/AykzTbk6Gc #E0105
9.30 Uhr, Frohnhauser Markt/ Platz, 45145 Essen mit offenem Mikrofon, (Eine Demonstration wurde bisher untersagt, (Aktuelles: #E0105)) 
Danach: Protest gegen die Faschisten"	2021-04-27T22:26:06Z	47706495.0	0	1	0	0	0
8	1.4000620510625382e+18	@herr_sin @Karl_Lauterbach @Alice_Weidel Personen angreifen halte ich für das Mittel der anderen. Und die Aussage diffamiert Menschen mit Persönlichkeitsstörung. So gesehen war meine Bemerkung auch nicht okay.	2021-06-02T12:09:39Z	8.380309775532892e+17	1	0	0	0	0
9	1.3892530644318986e+18	"Cn Naziterror

Du läufst mit paar linken Patches am Rucksack durch die Gegend?

Nazis jagen dich durch die Straßen, wenn sie dich erwischen, droht Lebensgefahr"	2021-05-03T16:18:36Z	9.70604988878807e+17	1	0	0	1	0
10	1.3907556440100782e+18	@BischofWalter @YouTube Nicht meine Musik aber der Text Widerspricht sich. Besorgte Bürger, Querdenker &amp; wie du sie sonst noch nennst wollen ihr Leben zurück WEIL sie wissen was Spaß ist ;)	2021-05-07T19:49:19Z	230946329.0	0	0	0	0	0
11	1.38529468782157e+18	"@reitschuster So eine Rede hat noch nicht einmal die AFD hinbekommen geschweige denn der Great Reset Lindner!
Die Union als FC eigene Tasche!
Die Volksterror Merkel hat es geschafft einen Haufen von Versagern in der Regierung um sich zu scharen
Und weil diese es wissen lecken sie der am Arsch"	2021-04-22T18:09:25Z	1.2568950346763878e+18	0	0	0	0	1
12	1.3958231506010644e+18	@m_schlobohm @Anna48338034 @Steinhoefel Nein...denen muss einfach die Möglichkeit genommen werden sich über irgendwas zu streiten.	2021-05-21T19:25:46Z	1.308821605137748e+18	0	0	0	0	0
13	1.384177140288e+18	@HE41214864 @Trille091 @BILD Die bekommt man schon nicht in den Griff, dann holt man sich das Unheil noch dazu. Und das noch in allen Bereichen. Sexual Delikte, Antisemitismus, Terror, Raub und Ehrenmord, Clan Strukturen und die ganze Batterie	2021-04-19T16:08:41Z	2981161913.0	1	0	0	1	0
14	1.3884723175007068e+18	@MCCM99 @FFF_Frankfurt Hier du Depp https://t.co/SmkCoqu6j0 und mit deinen Gewaltfantasien solltest du mal zum Arzt gehen.	2021-05-01T12:36:11Z	1.3297737103294546e+18	0	0	0	1	0
15	1.3941789028184433e+18	@HW417 @Ichbins2009 @DrStrompen @ZentralratJuden Lass mich raten.. Afd?	2021-05-17T06:32:07Z	7.115084489580872e+17	1	0	0	1	0
16	1.3957346857293988e+18	"@Wahrheitssuche7 @JrgenHgele1 @Markus_Soeder @reinerhaseloff @AfD Es hat doch mittlerweile jeder verstanden, d keiner mit d AfD will, warum es immer wiederholen?
Die gehen mir aufn Zeiger. 
Abgesehen davon, jede Partei gibt irgendeinen 💩 von sich o schlimmer noch, agiert gegen Mehrheitswillen, die sollen sich alle an ihre eigenen Nasen fassen."	2021-05-21T13:34:15Z	1.30628469321463e+18	1	0	0	0	0
17	1.3916692201869312e+18	"2/2 Sie würde einige Leute kennen, die vom Tragen der Maske krank geworden sind ☝ und dann zum krönenden Abschluss:"" ...das Schlimme an der Pandemie ist ja gar nicht der Virus...""🥴🤬😤  das war Covid19 Egoismus at it's Best.."	2021-05-10T08:19:32Z	7.234754349738557e+17	3	0	0	0	0
18	1.3884770384750264e+18	@HohlerAli @ThomasKunzfeld @moerv_vom_doerf @JohannesNormann @SerapGueler Die nenne ich Freunde.	2021-05-01T12:54:57Z	1.3341905177694003e+18	0	0	0	0	0
