@Martin28a Sie haben ja auch Recht. Unser Tweet war etwas missverständlich. Dass das BVerfG Sachleistungen nicht ausschließt, kritisieren wir.	OTHER	OTHER	-0.7
@spdde kein verläßlicher Verhandlungspartner. Nachkarteln nach den Sondierzngsgesprächen - schickt diese Stümper #SPD in die Versenkung.	OFFENSE	INSULT	-1.7
@milenahanm 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am Arsch vorbei was in dieser Zeit geschehen ist. Ich lebe im heute und jetzt und nicht in der Vergangenheit.	OFFENSE	PROFANITY	-1.0
@tagesschau Euere AfD Hetze wirkt. Da könnt ihr stolz sein bei #ARD-Fernsehen	OFFENSE	ABUSE	-1.0
Deutsche Medien, Halbwahrheiten und einseitige Betrachtung, wie bei allen vom Staat finanzierten "billigen" Propagandainstitutionen 😜	OFFENSE	ABUSE	-1.5999999999999999
@L7250402 @RGutmensch Auweia. Es geht nicht darum, dass man uns "toll" finden muss. Aber man könnte zumindest versuchen zu verstehen, was wir machen und wie wir das finanzieren, bevor man einfach falsche Schlussfolgerungen zieht und diese schamlos verbreitet. Schafft aber scheinbar nicht jeder.	OTHER	OTHER	-1.7
Für mich ist der morgige Tag ein Tag der "Größten Deutschen Schweinerei" seit 1945, eine riesen Mogelpackung bekloppter Politiker🤢	OFFENSE	ABUSE	-2.7
@peter2018huber @YouTube Das sitzt die doch aus - Teflon-Merkel ist ihr Spitzname in der Schweiz - an der prallt alles ab.	OTHER	OTHER	-1.0
Du sollst keinen anderen Gott haben neben mir. Mal schauen wann Gottes Worte als Rassismus dargestellt werden.	OTHER	OTHER	-1.3
@krippmarie Ich kenne noch einige Namen unter den SPDler die ebenfalls zu Grabe getragen müssten-sollten-werden....	OFFENSE	ABUSE	-0.3
@StephanJBauer @soskinderdorf Auch in Deutschland hungern Kinder.	OTHER	OTHER	-1.0
#Trump ist als Politiker kein Schwätzer sondern handelt vom ersten Tag an. |LBR| Und geopolitisches Denken des letzten Jahrhunderts ist ihm fremd	OTHER	OTHER	-0.7
@ndaktuell Ach Gott mehr nicht,was gedenkt man dagegen zutun,nach dem GG dürfen nur Deutsche Staatsbürger protestieren .Was hier geschehen ist ,ist ein Aufstand von Radikalen Moslems ,da sage ich nur einsammeln und Heimschicken!	OFFENSE	ABUSE	-2.0999999999999996
@ShakRiet @Heinrich_Krug So ist es....wir haben Maria vergessen...als hätte sie nie existiert....schämt euch...!	OTHER	OTHER	-1.7
@Einzelfallinfos @Carolin94815291 Das ist in Deutschland nicht strafbar...nur wenn deutsche Diebstähle begehen dann ist es anders...	OTHER	OTHER	-3.0
@monikabergholz2 Wir haben keine Meinungsfreiheit ,von wem soll die auch kommen wenn man eine in der DDR ausgebildete Bundeskanzlerin hat .Mielke hätte sich totgelacht.Ich glaube am Grab hört man in 🎉	OFFENSE	ABUSE	-0.6000000000000001
